created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified
2021-03-28 18:56:31,"#FarmersProtest 
Proud moment for us...congratulations 
ugraha ji and Tikat sir https://t.co/irnQa98Wym",1,0,Sainikhushii,910,False
2021-03-28 18:53:19,"UPDATE: Bapu Sukhdev Singh ji has been released from jail, Bapu Ji with our legal team Panjaab Lawyers, Senior Advocate Paramjeet Singh.

Full video from today's release:

https://t.co/esFvaNfgkb 

@amaanbali
@HarteerathSingh
@SikhPA

#FarmersProtest",1,0,SikhLegalAB,545,False
2021-03-28 18:51:54,"Found this one on Instragram page of SaffronStudios page 😁
#FarmersProtest 
#modisharmkarla https://t.co/EbYm3S2pNh",2,3,RaSandhuz,464,False
2021-03-28 18:39:54,"The country is proud of Punjabis! The people who are still protesting against your stupid laws!

Had people protested during Demonetization./GST and all these 7 years, we wouldn't have seen this India!

Bravo Punjabis!

#ShameOnCaptAmarinder #FarmersProtest #BJP #NoVoteToBJP https://t.co/F1JguRypKi",1,0,GouravNegedi,2,False
2021-03-28 18:38:26,"What a poetic message to Modi Gov♥️♥️

#FarmersProtest https://t.co/shuXO9iVHO",7,23,Gss_Views,3075,False
2021-03-28 18:30:50,"@WHO @WHOSEARO @WHOWPRO @WHO_Europe 
PLEASE can you advise if the World Health Organisation certified these products and brand and do they actually work?
#India 
#@thecaravanindia
#FarmersProtest https://t.co/j6eyhxdD83",1,0,keesohni,62,False
2021-03-28 18:29:23,"Action                                        Reaction
#FarmersProtest  #rakeshtikait https://t.co/xs7vv30Bxv",2,2,jhajibiaharse,443,False
2021-03-28 18:28:48,"What farmers require is, that the prices should be moderate, and the markets steady and for this reason we need MSP. 

#FarmersProtest
#BurnFarmLawsOnHoli https://t.co/OGYSopXOdZ",1,0,NijjarKash,50,False
2021-03-28 18:22:03,@IshwarP09543074 @with_kaur @imanukaur9999 @Mehragirl2 @kamalji15639251 @jot_sohal4 @iamnavroop Very beautifully written #FarmersProtest,2,3,standwithfarm14,58,False
2021-03-28 18:20:48,Thanks everyone for follow me Special thanks to mare vere nu @Ishwarp07537935 god bless you 🤗🤗 #FarmersProtest and all farmers supporters,1,1,standwithfarm14,58,False
2021-03-28 18:10:18,"#BREAKING : Farm Laws 

A frustrated Rakesh Tikait says that he will commit Su!c!de if Govt doesn't take back the three farm laws 🤣🤣🤣🤣

#FarmersProtest #RakeshTikait",2,12,MJ_007Club,3177,False
2021-03-28 18:07:21,"I love how our people have become aware and started asking these politicians and People in power about things , Stay united  #FarmersProtest",5,21,amanmangat08,1236,False
2021-03-28 18:03:17,"If it is lynching, then what we call 300 deaths in kisan andolan??
Kisike ko nanga karne se jyada dukhad baat 300 logon ki jaan jaana hai... shame on you bjp #FarmersProtest #INDvENG #NoVoteForADMK #NoVoteToBJP #andhbhakth #lockdown2021 #ShardulThakur #MamtaLosingNandigram https://t.co/sI15ugTnfN",2,4,Yuva56656,8,False
2021-03-28 18:03:11,"Can someone please #Help
#mercenaries 
#jihadhi
#Terrorists 
Even #VazeGate 
#FarmersProtest is a #Khalistani movement led by #Tikait https://t.co/Xs338vr5xa",1,1,Byrahulchhibber,1080,False
2021-03-28 18:00:31,Who’s up india walo ja so gai sare #FarmersProtest,1,8,with_kaur,1470,False
2021-03-28 18:00:01,"Farmers celebrate ‘Holika Dahan' by burning copies of Centre's farm laws
.
#Holi #FarmersProtest #TheSecondAngle https://t.co/FSjl7APmIK",2,2,TheSecondAngle,940,False
2021-03-28 17:51:12,"Happy holla mohalla 

#HolaMohalla #Waheguruji 
hope our farmers stay in chardi Kala and get a good news #FarmersProtest https://t.co/N6ocRHRrP2",3,2,candykirankooki,406,False
2021-03-28 17:42:10,#FarmersProtest  this is happening across the 🌍 farmers are deprived of their rights https://t.co/PxIo9lCYU2,2,3,ShorabhSharma10,24,False
2021-03-28 17:41:01,Rakesh Tikait burnt copies of the farm laws at Ghazipur border. #FarmersProtest https://t.co/cu2KpfIJ81,92,363,amaanbali,29294,False
2021-03-28 17:36:57,"RSS/BJP terrorists in Canada are provoking and instigating pro-farmers in an attempt  to defame the farmers protesting. 

#FarmersProtest https://t.co/Oz64U9kJBh",11,12,Nick13947057,112,False
2021-03-28 17:35:30,"Friends of Fight for right,holi will be played all over the country tomarow and all the festival look good in happiness,the government is not listening to the farmers,so tomorrow farmers will start 7.30am in the morning.#Black_Holi_Of_Farmers  will speak please.
#FarmersProtest https://t.co/dAa3Dz6cRl",1,4,RajeshBilung03,2597,False
2021-03-28 17:22:53,#FarmersProtest against 3 draconian #FarmLaws in towns and cities across Gujarat https://t.co/9nFionba8d,8,12,iScrew,14455,False
2021-03-28 17:22:17,"There goes Cheew News

#Farmersprotest https://t.co/rPJl0VLWDx",1,0,Jogi_hoya_jatt,257,False
2021-03-28 17:19:02,"It’s so true ´ but how will they understand  ‘’as you sow , so shall you reap ‘’ as they never did farming .
#BurnFarmLawsOnHoli  #FarmersProtest  #FarmLaws2020 
@ninabhullar1 @GurnamsinghBku @KaurPunjabian @advGaganSidhu @itzzGurdeep @sidhu_gussewala @Kaurisqueen9 @Cute_pawu https://t.co/vzGyAvPtFr",4,5,kaur_anoopinder,181,False
2021-03-28 17:16:10,"Modi is people’s servant; instead he’s a servant to his 2 pals &amp; serving their interests. 

Wake up people! 
#Black_Holi_Of_Farmers
#BurnFarmLawsOnHoli
#FarmersProtest https://t.co/BhMR5Fk3ml",2,5,RajeshBilung03,2597,False
2021-03-28 17:15:28,"BJP was against ripped jeans.

Farmers gave them ripped kurta. 
#Black_Holi_Of_Farmers
#FarmersProtest #rippedjeans https://t.co/uKUg0Qlbu1",2,5,RajeshBilung03,2597,False
2021-03-28 17:14:50,"Wherever Modi goes, man gets killed. Thousands of farmers are dead in India. Modi is responsible.
#FarmersProtest
#Bangladesh  @UNHumanRights
#BangladeshHatesModi
#modinotwelcome  @GretaThunberg https://t.co/vmqlII7jz5",1,1,gajju_jatt,411,False
2021-03-28 17:12:57,"Somewhere at the #FarmersProtest !

This is is India after my heart! 💞 https://t.co/9A8XI0cZLS",2,7,LeherSethi,2308,False
2021-03-28 17:09:12,"@sardesairajdeep Yes this is wrong and could’ve totally been avoided had the govt been able to resolve the farmers’ issue in 4-5 months...instead of ignoring/ mistreating/ vilifying the farmers! Totally Modi’s fault.
#FarmersProtest",1,2,MalikAvni,255,False
2021-03-28 17:07:56,@nehaltyagi08 Very good... We will provide all the necessary items for him which helps for suicide... #FarmersProtest,1,1,Dharmic_Saint,884,False
2021-03-28 17:05:24,"Farm laws #FarmersProtest
#BurnFarmLawsOnHoli https://t.co/FAeufXsZOn",1,1,ParNain9,178,False
2021-03-28 17:03:48,"Modi and his people have been ignoring the peacefully protesting farmers and testing their patience. They want the ignored farmers to get frustrated and react just so they can blame the farmers for their reaction. 
#FarmersProtest",4,17,MalikAvni,255,False
2021-03-28 17:01:11,Farmers resilience is commendable. Will they ever give up. Seems unlikely. #FarmersProtest https://t.co/uBfiPEB6Ha,1,1,bhupender1956,1105,False
2021-03-28 16:58:41,"#FarmersProtest 
@Bkuektaugrahan  In India's strongest man list now our joginder Singh ugrahan rank is 88. Congratulations and always work for farmers.",1,3,MohinderOf,611,False
2021-03-28 16:54:16,Support farmers. #FarmersProtest https://t.co/vDRiPSzCIx,4,13,RajDhanda17,1804,False
2021-03-28 16:47:00,"Rakesh Tikait restated that we will go to Parliament to sell the crops. Said this is no joke, he is serious. Farmers went to parliament in 2002 to burn crops as protest and stayed there for 45 mins #FarmersProtest",1,4,LyllpuriaDeep1,919,False
2021-03-28 16:44:48,"God knows why the #ModiGovt is acting deaf n dumb to the #FarmersProtest     #RepealFarmLaws   #BurnFarmLawsOnHoli 
@_SwarajIndia @NavdeepSingh_7 @PicckaPeeee @KissanZindabad @hisamuddink51 @mandeep_puniaa @HINDUSANSKRITI3 @Harman143s @whateverbutbad @lipikilipi @Kisanektamorcha https://t.co/gSWyWwjTez",1,2,kaur_anoopinder,181,False
2021-03-28 16:40:11,"Farmers fight against manusmriti's law 
#Black_Holi_Of_Farmers
#किसान_कृषि_बिल_दहन_करेगे
#FarmersProtest https://t.co/ZOUUMEahsG",2,5,PantherAJ12,329,False
2021-03-28 16:35:15,"Apart from many other reasons, Is the #GNCTDBill also to counter the #FarmersProtest in Delhi?

@kkuruganti @sayantanbera @HartoshSinghBal https://t.co/a4FSVI9gUQ",1,0,nanoharsha,719,False
2021-03-28 16:34:54,"@NAVBHARATAM We won’t fall for all that rubbish. We #Sikhs and #Hindus in the #Punjab get along fine. 1000’s of Hindus were not murdered in the Punjab by Sikhs. Your #rss driven #hindutva #bjp hatred is not welcome, keep it to yourself.  #FarmersProtest is not about Sikhs and Hindus.",1,0,Talwar_Punjabi,7289,False
2021-03-28 16:30:03,"Well done to farmers, these hate mongers need to taste their own medicine. #FarmersProtest https://t.co/XlP9Ng3Eo5",11,35,truthprevails83,29,False
2021-03-28 16:27:06,"Burn BJP Burn 🔥 
#BurnFarmLawsOnHoli
#FarmersProtest https://t.co/hZrNZzCGYD",1,1,rumsomal,353,False
2021-03-28 16:26:14,Farmers burn copies of farm laws at Delhi border to celebrate 'Holika Dahan'  https://t.co/gVrbmLuTGq #FarmersProtest,1,3,Oneindia,64502,True
2021-03-28 16:23:52,here are some facts about India. The US is 3 times bigger than India. India has 993.5 million more ppl than the US. In India more than 200 million ppl dont have sufficient access to food. 25% of India has no access to education. India’s democracy continues to fail #farmersprotest,3,11,yourlawyerkomal,670,False
2021-03-28 16:20:16,"The danger is that by the time AAP comes, Modi will privatize everything in India. After that, AK can only give the minimum to people. We will never be free owners of our banks, roads, mines, railways, airports, telecom, and even defense. 
#FarmersProtest #BurnFarmLawsOnHoli https://t.co/4TFVIf3nHu",1,1,mgrg7,9952,False
2021-03-28 16:19:17,"Farmers income doubled?
Dept of farmers waved?
Farmers got MSP?
Farmers suicide halted?
Respect is a fight for rights and free living..
#किसान_कृषि_बिल_दहन_करेगे 
#BurnFarmLawsOnHoli 
#FarmersProtest https://t.co/IMofluS1A9",8,13,HryTweet_,3996,False
2021-03-28 16:16:06,"I'm discussing “Rihanna’s $2.5m #FarmersProtest tweet &amp; Poetic Justice” with @modhaliwal, @neeti420 Today, Mar 28 at 10:00 AM PDT on @joinclubhouse. Join us! https://t.co/T8W1CDoSRs",3,20,BalBrach,3853,True
2021-03-28 16:15:22,#BJPMLA #ArunNarang was beaten up and striped him totally naked by #farmersprotester in the presence of #PanjabPolice. It's a black spot on peaceful #farmersprotest. Any kind of #MobLynching should be banned in India. @narendramodi @AmitShah @capt_amarinder https://t.co/TKM9HJKTAx,2,2,neerajfilms,9909,False
2021-03-28 16:11:39,"#Breaking

👉Zee Owner Subhash Chandra had an event today in Hisar

👉100s of Farmers gheroed the venue &amp; forced Chandra to cancel it

👉Event organizers apologize to farmers for inviting him

👉Zee been peddling hate against farmers. #FarmersProtest giving it back to #GodiMedia https://t.co/r330EJCb3c",714,1676,saahilmenghani,86822,True
